round_epochs,val_loss,val_quadruplet_metric,loss,quadruplet_metric,lr,epochs,batch_size,optimizer,embeddings,activation,neurons,decoderfactor
1,-0.442676252,0.922,-0.43598034,0.90975,4.1,100,50,<class 'keras.optimizers.Adam'>,80,<function selu at 0x00000229C8B63EA0>,400,2
1,-0.447934792,0.899,-0.440693297,0.8895,0.1,100,100,<class 'keras.optimizers.Nadam'>,10,<function elu at 0x00000229C8B63E18>,300,1
1,-0.442683559,0.92825,-0.436079734,0.918,4.1,100,50,<class 'keras.optimizers.Adam'>,40,<function elu at 0x00000229C8B63E18>,300,0
1,-0.429275265,0.88425,-0.422592511,0.8635,4.1,100,100,<class 'keras.optimizers.Nadam'>,40,<function selu at 0x00000229C8B63EA0>,300,2
1,-0.448978212,0.92125,-0.442422536,0.9095,5.1,100,100,<class 'keras.optimizers.Adam'>,80,<function elu at 0x00000229C8B63E18>,400,0
1,-0.435858596,0.88825,-0.430228245,0.88575,2.1,100,100,<class 'keras.optimizers.Adam'>,10,<function selu at 0x00000229C8B63EA0>,400,2
1,-0.452300142,0.9345,-0.445804334,0.916,0.1,100,50,<class 'keras.optimizers.Nadam'>,80,<function elu at 0x00000229C8B63E18>,200,1
1,-0.44483658,0.92225,-0.439319551,0.90825,1.1,100,20,<class 'keras.optimizers.Nadam'>,80,<function elu at 0x00000229C8B63E18>,300,0
1,-0.449186849,0.95125,-0.438665528,0.93925,1.1,100,50,<class 'keras.optimizers.Adam'>,20,<function selu at 0x00000229C8B63EA0>,300,2
1,-0.450272811,0.92175,-0.443353138,0.906,7.1,100,100,<class 'keras.optimizers.Nadam'>,80,<function elu at 0x00000229C8B63E18>,300,2
1,-0.437207215,0.90775,-0.431164792,0.897,7.1,100,20,<class 'keras.optimizers.Adam'>,10,<function selu at 0x00000229C8B63EA0>,100,1
1,-0.444939115,0.92125,-0.43421886,0.901,0.1,100,50,<class 'keras.optimizers.Adam'>,10,<function relu at 0x00000229C8B740D0>,100,2
