round_epochs,val_loss,val_quadruplet_metric,loss,quadruplet_metric,lr,epochs,batch_size,optimizer,embeddings,activation,neurons,decoderfactor,dropout
1,19.921752090454103,0.98175,20.901293197631837,0.972,0.21000000000000002,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0
1,20.56654096221924,0.968,22.130012802124025,0.95,0.6100000000000001,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.6
1,20.043166145324708,0.98375,20.981603149414063,0.973,0.11,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0.2
1,19.512841148376467,0.98075,20.36085015106201,0.97375,0.21000000000000002,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.2
1,20.17800345611572,0.9805,21.18720986175537,0.96925,0.41000000000000003,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.2
1,19.94309299468994,0.9815,21.03835079193115,0.96825,0.6100000000000001,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.2
1,20.84723120880127,0.98025,21.836296928405762,0.9695,0.81,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0.2
1,20.89281603240967,0.9805,21.709012733459474,0.97275,0.01,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0
1,20.373057312011717,0.977,21.60232218170166,0.9675,0.11,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0.4
1,23.38219889831543,0.9135,25.06387202453613,0.89225,0.51,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0.8
1,20.509514083862303,0.9825,21.63843606567383,0.97225,0.91,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0.4
1,19.537324699401857,0.9855,20.656150665283203,0.9745,0.91,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0.2
1,19.84897585296631,0.98,20.863339111328123,0.96825,0.31000000000000005,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0.2
1,21.71542987060547,0.93075,23.08212564086914,0.92075,0.81,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0.6
1,20.028831855773927,0.98775,20.845432708740233,0.97925,0.31000000000000005,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0
1,20.980265274047852,0.97775,22.208859184265137,0.9605,0.7100000000000001,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0.4
1,19.994168754577636,0.98325,21.00600283050537,0.9715,0.01,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.2
1,20.151800994873046,0.977,21.326069038391115,0.964,0.51,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.4
1,22.668681350708006,0.914,24.537459350585937,0.89375,0.21000000000000002,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.8
1,20.298492111206055,0.98025,20.894880111694334,0.975,0.01,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0
1,23.101682754516602,0.90575,24.758419982910155,0.8995,0.01,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0.8
1,20.544890937805175,0.9775,21.677216789245605,0.96525,0.11,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.4
1,21.15099671936035,0.97075,22.798220886230467,0.95325,0.81,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0.6
1,23.557976821899413,0.90575,24.98036067199707,0.89,0.51,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0.8
1,20.63897422027588,0.97275,21.996990783691405,0.9585,0.51,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0.4
1,20.39486008453369,0.9785,21.51356330871582,0.96525,0.21000000000000002,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0.4
1,21.205078590393068,0.9505,22.77332243347168,0.93525,0.51,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.6
1,22.74099373626709,0.9055,24.280751602172852,0.89575,0.11,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0.8
1,20.246197486877442,0.97525,21.421550102233887,0.96625,0.01,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0.4
1,19.98515531158447,0.98125,20.82286968231201,0.972,0.31000000000000005,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0
1,23.132823249816894,0.906,24.7739814453125,0.8885,0.6100000000000001,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0.8
1,20.10763227081299,0.98275,21.05540129852295,0.97175,0.21000000000000002,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0.2
1,23.17603768157959,0.90375,24.874609619140625,0.88625,0.01,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.8
1,20.335578163146973,0.97925,21.412133026123048,0.96825,0.11,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0.4
1,20.919350509643554,0.98125,21.88224314880371,0.9725,0.7100000000000001,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0.2
1,20.713639739990235,0.97825,21.37968995666504,0.97425,0.01,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0.2
1,22.888171005249024,0.91575,24.551763549804686,0.899,0.7100000000000001,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0.8
1,19.670422660827636,0.98575,20.619806442260742,0.97525,0.7100000000000001,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.2
1,19.96271590423584,0.988,20.643667587280273,0.983,0.6100000000000001,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0
